id,account_number,amount,transaction_type,transaction_date
1,ACC-001,2500.00,deposit,2024-01-05
2,ACC-002,430.75,withdrawal,2024-01-08
3,ACC-001,1800.00,deposit,2024-01-12
4,ACC-003,950.00,withdrawal,2024-01-15
5,ACC-004,3200.00,deposit,2024-01-18
6,ACC-002,125.50,withdrawal,2024-01-20
7,ACC-005,5000.00,deposit,2024-01-22
8,ACC-003,780.00,deposit,2024-01-25
9,ACC-001,2100.00,withdrawal,2024-02-01
10,ACC-006,650.00,deposit,2024-02-03
11,ACC-004,1500.00,withdrawal,2024-02-05
12,ACC-007,890.25,deposit,2024-02-08
13,ACC-005,300.00,withdrawal,2024-02-10
14,ACC-002,4500.00,deposit,2024-02-14
15,ACC-008,220.00,withdrawal,2024-02-16
16,ACC-006,1750.00,deposit,2024-02-19
17,ACC-003,67.80,withdrawal,2024-02-22
18,ACC-007,2200.00,deposit,2024-02-25
19,ACC-008,975.00,deposit,2024-02-28
20,ACC-001,1350.00,deposit,2024-03-01
